Disease Name,Symptoms
Addison’s disease,"Addison’s disease can be difficult to detect at first, because early symptoms are similar to symptoms of many other health conditions.
Initial symptoms of Addison’s disease can include:

fatigue (lack of energy or motivation)
lethargy (abnormal drowsiness or tiredness)
muscle weakness
low mood (mild depression) or irritability
loss of appetite and unintentional weight loss
the need to urinate frequently
increased thirst
craving for salty foods

Dehydration can also be an early sign of Addison’s disease. It’s caused by lack of the hormone aldosterone in your body, which is used to regulate the balance of salt and water.
Further symptoms of Addison’s disease tend to develop gradually over months or years. However, additional stress, caused by another illness or an accident, for example, may cause your symptoms to suddenly get worse.
You may go on to develop:

low blood pressure when you stand up, which can cause dizziness and fainting 
feeling sick (nausea)
vomiting
diarrhoea
abdominal, joint or back pain
muscle cramps 
chronic exhaustion, which may cause depression
brownish discolouration of the skin, lips and gums (hyperpigmentation), particularly in the creases on your palms, on scars or on pressure points, such as your knuckles or knees
a reduced libido (lack of interest in sex), particularly in women

Some women may also have irregular periods or miss some periods completely. Children with Addison’s disease may experience puberty later than usual.
Some people with Addison’s disease also develop low blood sugar (hypoglycaemia). This can cause symptoms such as difficulty concentrating, confusion, anxiety and even unconsciousness (particularly in children).
If you’re experiencing symptoms of Addison’s disease, see your GP so they can diagnose or rule out the condition. These symptoms will usually improve with appropriate treatment.
Read more about diagnosing Addison’s disease and treating Addison’s disease
If Addison’s disease is left untreated, the levels of hormones produced by the adrenal gland gradually decrease in the body. This causes your symptoms to get progressively worse and eventually lead to a life-threatening situation called an adrenal or Addisonian crisis.
During an adrenal crisis, the symptoms of Addison’s disease appear quickly and severely. This could happen when you’re already experiencing initial symptoms or without any symptoms at all.
Signs of an adrenal crisis include:

severe dehydration
pale, cold, clammy skin
sweating
rapid, shallow breathing
dizziness
severe vomiting and diarrhoea
severe muscle weakness
headache
severe drowsiness or loss of consciousness

An adrenal crisis is a medical emergency. If left untreated, it can be fatal. If you think you or someone you know with Addison’s disease is having an adrenal crisis, phone 999 for an ambulance.
If an adrenal crisis isn’t treated, it can lead to a coma and death. There’s also a risk your brain won’t get enough oxygen if treatment is delayed, which can cause permanent disability."
Adenomyosis,"It’s possible to have adenomyosis and have no symptoms. Symptoms you might experience include:

heavy periods that last for a long time
severe period pain
a feeling of pressure in your tummy
bloating (your tummy sticks out more than normal)
"
Alcohol-related liver disease,"In many cases, people with alcohol-related liver disease (ARLD) don’t have any noticeable symptoms until their liver is badly damaged.
If you do experience early symptoms of ARLD, these are often quite vague, such as:

abdominal pain
loss of appetite
fatigue
feeling sick
diarrhoea
feeling generally unwell

As the liver becomes more severely damaged, more obvious and serious symptoms can develop, such as:

yellowing of the skin and whites of the eyes (jaundice)
swelling in the legs, ankles and feet, due to a build-up of fluid (oedema)
swelling in your abdomen, due to a build-up of fluid known as ascites
a high temperature (fever) and shivering attacks
very itchy skin
hair loss
unusually curved fingertips and nails (clubbed fingers)
blotchy red palms
significant weight loss
weakness and muscle wasting
confusion and memory problems, trouble sleeping (insomnia) and changes in your personality due to a build-up of toxins in the brain
vomiting blood and black, tarry stools due to internal bleeding
a tendency to bleed and bruise more easily, such as frequent nosebleeds and bleeding gums
increased sensitivity to alcohol and drugs (because the liver can’t process them)

ARLD doesn’t often cause symptoms until it’s reached an advanced stage. If you misuse alcohol, you may have liver damage, even though you have none of these symptoms.
Read about alcohol misuse (drinking too much). 
Contact your GP for advice if you have a history of regular alcohol misuse.
A good way to assess your history and pattern of drinking is to use a short test known as the CAGE test, which consists of 4 questions:

Have you ever thought you should cut down on your drinking?
Have people annoyed you by criticising your drinking?
Have you ever felt guilty about your drinking?
Have you ever drunk an ‘eye-opener’, which means: have you ever drunk alcohol first thing in the morning to get over a hangover and steady your nerves?

If you answer yes to 1 or more of the questions, you may have an alcohol problem and are advised to see your GP.
See your GP as soon as possible if you have symptoms of advanced ARLD.
Read more about how ARLD is diagnosed."
Allergic rhinitis,"Allergic rhinitis usually causes cold-like symptoms, such as:

sneezing
itchiness
a blocked or runny nose

These symptoms usually start soon after coming into contact with something you’re allergic to.
Some people only get allergic rhinitis seasonally because they’re allergic to things like tree or grass pollen. Other people get allergic rhinitis all year round.
Your GP will usually be able to diagnose allergic rhinitis from your symptoms and any triggers you may have noticed. If the cause of your condition is uncertain, you may be referred for allergy testing.
Treatment for allergic rhinitis depends on how severe your symptoms are.
If you have mild allergic rhinitis, you can often treat the symptoms yourself.
Always read the leaflet that comes with your medicine before taking it. Follow the recommended dosage instructions. If you’re not sure which treatments are suitable for you or your child, speak to a pharmacist for advice.
Medication won’t cure your allergy, but it can be used to treat the symptoms.
Speak to your GP practice if your symptoms do not improve 2 weeks after starting medicine. They may prescribe a stronger medication such as a nasal spray containing corticosteroids.
Allergic rhinitis is caused by breathing in tiny particles that you’re allergic to. The most common allergens in the air that cause rhinitis are:

house dust mites
pollen and spores
flakes of animal skin
wood dust
flour dust
latex

You’re more likely to develop an allergy if there’s a history of allergies in your family.
Allergic rhinitis can lead to complications in some cases. These include:

nasal polyps – abnormal but non-cancerous (benign) growths inside the nose and sinuses
sinusitis – inflammation that blocks the sinuses so mucus cannot drain into your nose as usual
blockage of the middle ear – due to a build-up of fluid behind the eardrum

These problems can often be treated with medication. Surgery is sometimes needed in severe or long-term cases."
Allergies,"Symptoms of an allergic reaction usually develop within a few minutes of being exposed to something you’re allergic to, although occasionally they can develop gradually over a few hours.
Although allergic reactions can be a nuisance and hamper your normal activities, most are mild. Very occasionally, a severe reaction called anaphylaxis can occur.
Common symptoms of an allergic reaction include:

sneezing and an itchy, runny or blocked nose (allergic rhinitis)
itchy, red, watering eyes (conjunctivitis)
wheezing, chest tightness, shortness of breath and a cough
a raised, itchy, red rash (hives)
swollen lips, tongue, eyes or face
tummy pain, feeling sick, vomiting or diarrhoea
dry, red and cracked skin

The symptoms vary depending on what you’re allergic to and how you come into contact with it. For example, you may have a runny nose if exposed to pollen, develop a rash if you have a skin allergy, or feel sick if you eat something you’re allergic to.
See your pharmacist if you or your child might have had an allergic reaction to something. They can help determine whether the symptoms are caused by an allergy or another condition. Read more about diagnosing allergies.
In rare cases, an allergy can lead to a severe allergic reaction, called anaphylaxis or anaphylactic shock, which can be life-threatening.
This affects the whole body and usually develops within minutes of exposure to something you’re allergic to.
Signs of anaphylaxis include any of the symptoms above, as well as:

swelling of the throat and mouth
difficulty breathing
lightheadedness
confusion
blue skin or lips
collapsing and losing consciousness

Anaphylaxis is a medical emergency that requires immediate treatment. Read more about anaphylaxis for information about what to do if it occurs."
Alzheimer’s disease,"Alzheimer’s disease is a progressive condition. This means the symptoms develop gradually and become more severe over time.
The first sign of Alzheimer’s disease is usually minor memory problems. For example, a loss of interest and enjoyment in day-to-day activities. It’s also common to forget about recent conversations, events or the names of places.
As the condition develops, memory problems become more severe.
Other changes caused by Alzheimer’s disease that could cause you concern include:

confusion, disorientation and getting lost in familiar places
difficulty planning or making decisions
problems with speech and language
problems moving around without help
difficulty performing self-care tasks
stress and distress
hallucinations (seeing or hearing things that aren’t there)
delusions (believing things that are untrue)
low mood or anxiety
"
Anal cancer,"The symptoms of anal cancer are often similar to more common and less serious conditions affecting the anus, such as piles (haemorrhoids) and anal fissures (small tears or sores).
Symptoms of anal cancer can include:

bleeding from the bottom (rectal bleeding)
itching and pain around the anus
small lumps around the anus
a discharge of mucus from the anus
loss of bowel control (bowel incontinence)

However, some people with anal cancer don’t have any symptoms. 
Speak to your GP if you develop any of the above symptoms. While they’re unlikely to be caused by anal cancer, it’s best to get them checked out.
Your GP will usually ask about your symptoms and carry out some examinations.
They may feel your tummy and carry out a rectal examination. This involves your doctor inserting a gloved finger into your bottom so they can feel any abnormalities. Your GP will refer you to hospital if they think further tests are necessary. 
The National Institute for Health and Care Excellence (NICE) recommends in its 2015 guidelines that GPs should consider referring someone with an unexplained anal lump or anal ulcer. The person should receive an appointment within 2 weeks.
If you’re referred to hospital, a number of different tests may be carried out to check for anal cancer and rule out other conditions.
Some of the tests you may have include a:

sigmoidoscopy – where a thin, flexible tube with a small camera and light is inserted into your bottom to check for any abnormalities
proctoscopy – where the inside of your rectum is examined using a hollow tube-like instrument (proctoscope) with a light on the end
biopsy – where a small tissue sample is removed from your anus during a sigmoidoscopy or proctoscopy so it can be examined in a laboratory under a microscope 

If these tests suggest you have anal cancer, you may have some scans to check whether the cancer has spread. Once these are complete, your doctors will be able to ‘stage’ the cancer. This means giving it a score to describe how large it is and how far it has spread.
You can read more about the stages of anal cancer on the Cancer Research UK website.
If you’re diagnosed with anal cancer, you’ll be cared for by a multidisciplinary team. This is a team of different specialists who work together to provide the best treatment and care.
The main treatments used for anal cancer are:

chemoradiation – a combination of chemotherapy and radiotherapy
surgery – to remove a tumour or a larger section of bowel

In cases where the cancer has spread and can’t be cured, chemotherapy alone may be considered to help relieve symptoms. This is known as palliative care.
Chemoradiation is a treatment that combines chemotherapy (cancer-killing medication) and radiotherapy (where radiation is used to kill cancer cells). It’s currently the most effective treatment for anal cancer. You don’t usually need to stay in hospital when you’re having chemoradiation.
Chemotherapy for anal cancer is usually given in 2 cycles, each lasting 4 to 5 days, with a 4-week gap between the cycles. In many cases, part of the chemotherapy is delivered through a small tube called a peripherally inserted central catheter (PICC) in your arm, which can stay in place until your treatment has finished.
The tube means you don’t need to stay in hospital during each of the cycles of chemotherapy. However, you’ll be attached to a small plastic pump, which you take home with you.
A few hospitals now offer tablet chemotherapy for anal cancer, which avoids the need for the pump and PICC.
Read more about how chemotherapy is carried out
Radiotherapy is usually given in short sessions, once a day from Monday to Friday, with a break at weekends. This is usually carried out for 5 to 6 weeks. To prepare for radiotherapy, additional scans will be required.
Read more about how radiotherapy is carried out
Both chemotherapy and radiotherapy often cause significant side effects, including:

tiredness
sore skin around the anus
sore skin around the penis and scrotum in men or vulva in women
hair loss – limited hair loss from the head, but total loss from the pubic area
feeling sick
diarrhoea

These side effects are usually temporary, but there’s also a risk of longer-term problems, such as infertility. If you’re concerned about the potential side effects of treatment, you should discuss this with your care team before treatment begins. 
Other possible long-term side effects can include:

bowel control problems
long-term (chronic) diarrhoea
erectile dysfunction
vaginal pain when having sex
dry and itchy skin around the groin and anus
bleeding from the anus, rectum, vagina or bladder

Tell your doctor if you develop any of these symptoms so they can be investigated and treated.
Surgery is a less common treatment option for anal cancer. It’s usually only considered if the tumour is small and can be easily removed, or if chemoradiation hasn’t worked.
If the tumour is very small and clearly defined, it may be cut out during a procedure called a local excision. This is a relatively simple procedure, carried out under general anaesthetic, that usually only requires a stay in hospital of a few days.
If chemoradiation has been unsuccessful or the cancer has returned after treatment, a more complex operation called an abdominoperineal resection may be recommended. As with a local excision, this operation is carried out under general anaesthetic.
An abdominoperineal resection involves removing your anus, rectum, part of the colon, some surrounding muscle tissue, and sometimes some of the surrounding lymph nodes (small glands that form part of the immune system) to reduce the risk of the cancer returning. You’ll usually need to stay in hospital for up to 10 days after this type of surgery.
During the operation, a permanent colostomy will also be formed to allow you to pass stools. This is where a section of the large intestine is diverted through an opening made in the abdomen called a stoma. The stoma is attached to a special pouch that will collect your stools after the operation.
Before and after the operation, you’ll see a specialist nurse who can offer support and advice to help you adapt to life with a colostomy. Adjusting to life with a colostomy can be challenging, but most people become accustomed to it over time.
Read more about living with a colostomy
After your course of treatment ends, you’ll need to have regular follow-up appointments to monitor your recovery and check for any signs of the cancer returning.
To start with, these appointments will be every few weeks or months, but they’ll gradually become less frequent over time.
The exact cause of anal cancer is unknown, although a number of factors can increase your risk of developing the condition. These include:

infection with human papilloma virus (HPV) – a common and usually harmless group of viruses spread through sexual contact, which can affect the moist membranes lining your body
having anal sex or lots of sexual partners – possibly because this increases your risk of developing HPV
having a history of cervical, vaginal or vulval cancer
smoking
having a weakened immune system – for example, if you have HIV

Your risk of developing anal cancer increases as you get older, with half of all cases diagnosed in people aged 65 or over. The condition is also slightly more common in women than men.

Cancer Research UK: anal cancer
Macmillan: anal cancer
"
Anaphylaxis,
Angina,"The main symptom of angina is chest pain. This can:

feel like a dull pain, ache, ‘heavy’ or ‘tight’ feeling in your chest
spread to your arms, neck, jaw or back
be triggered by physical exertion

Angina itself is not life threatening, but prolonged chest pain can be a symptom of a heart attack.
To diagnose angina, you will be assessed and you may need to have several tests.
You will also be asked some questions about:

the symptoms you experienced
if there were any triggers for the pain
your family’s medical history
lifestyle risk factors (like smoking, for example)

You might also be given some tests to determine if you already have heart disease or you’re at risk of it.

measuring your weight
measuring blood pressure
taking blood to check cholesterol levels, diabetes or anaemia

If it’s thought that you have angina, you might be referred to the hospital for some more tests. These might include:

electrocardiogram (ECG) – measures the rhythms and electrical activity of the heart
exercise tolerance test (ETT) – measures the activity of the heart during exercise
myocardial perfusion scan (MPS or MYoview) – measures how well blood is reaching the heart
coronary angiography – shows whether your coronary arteries are narrow and how severe any blockages are
blood tests – help to identify increased enzyme levels (troponin) which are released when the heart is damaged

The 2 main types of angina are stable angina and unstable angina.
Stable angina is more common. Attacks are more likely to have a trigger (like physical activity or stress).
Symptoms of stable angina usually only last for a few minutes after exercise or stress. They can improve with rest and by taking a medication called Glyceryl trinitrate (GTN).
Attacks of unstable angina can be unpredictable and develop without any clear triggers. They might also last longer and continue even when resting.
Sometimes, when chest pain occurs suddenly, it’s unclear if it’s due to unstable angina or a heart attack. Until tests confirm the diagnosis, doctors sometimes call this Acute Coronary Syndrome (ACS)."
Angioedema,"The main sign of angioedema is swelling that develops below the skin’s surface.
The swelling is caused by a collection of fluid in the deep layers of the skin.
It most often affects the hands, feet, eyes, lips, or genitals. In severe cases, the inside lining of the throat and bowel can be affected (see below).
The swelling usually appears suddenly, and is more severe than normal hives (nettle rash). It commonly lasts 1 to 3 days. There may be a prickling sensation in the affected area before swelling is visible.
The swelling is not itchy and the skin may look a normal colour; however, many people with allergic or idiopathic angioedema also develop urticaria (hives), which is red and itchy.
As well as visible swellings, angioedema can cause other symptoms, including:

a hot or painful sensation in the swollen areas
swelling of the inside of the throat, the windpipe and the tongue, making breathing difficult
swelling of the conjunctiva (the transparent layer of cells that cover the white part of the eye), which affects vision

People with hereditary angioedema may also experience:

abdominal (stomach) pain caused by swelling in the stomach and bowel, which can cause nausea, vomiting and diarrhoea
swelling of the bladder or urethra (the tube that connects the bladder to the genitals), which can cause bladder problems and difficulty passing urine

Contact your GP if you have an episode of angioedema that does not affect your breathing and you have not previously been diagnosed with the condition. You will need to have tests to determine what type of angioedema you have.
Dial 999 to request an ambulance if you suspect that you, or someone you know, is experiencing anaphylaxis (a severe allergic reaction). Tell the operator that you suspect anaphylaxis.
Initial symptoms of anaphylaxis include:

a feeling of tightness in the chest that leads to breathing problems 
swelling of the tongue and throat

If you, or the person in your care, has previously been prescribed an adrenaline auto-injector pen, you should use it while waiting for the ambulance to arrive."
Ankle sprain,"These vary from person to person and some symptoms may appear several days after the initial injury.
People may experience: 

swelling and bruising
pain
mild heat and redness.
loss of movement and strength around the ankle and foot
difficulty walking or going up or down stairs
tingling, numbness or pins and needles in the affected area
"
Ankylosing spondylitis,"The symptoms of ankylosing spondylitis (AS) can vary from person to person, but usually develop slowly, over several months or years.
AS usually first starts to develop during later teenage years or early adulthood. The symptoms may come and go, and improve or get worse over many years.
The main symptoms of AS are described below, although you may not develop all of these if you have the condition. 
Back pain and stiffness are usually the main symptoms of AS. You may find:

the pain gets better with exercise but doesn’t improve, or gets worse, with rest
the pain and stiffness is worse in the morning and at night – you may wake up regularly during the night because of the pain
you have pain in the area around your buttocks

As well as causing symptoms in your back and spine, AS can also cause inflammation of the joints (arthritis) in other parts of your body, such as your hips and knees. The main symptoms associated with arthritis are:

pain on moving the affected joint
tenderness when the affected joint is examined
swelling and warmth in the affected area  

Enthesitis is painful inflammation where a bone is joined to a tendon (a tough cord of tissue that connects muscles to bones) or a ligament (a band of tissue that connects bones to bones).
Common sites for enthesitis are:

at the top of the shin bone
behind the heel (Achilles tendon)
under the heel
where the ribs join to the breast bone

If your ribs are affected, you may experience chest pain, and you may find it difficult to expand your chest when breathing deeply.
Fatigue is a common symptom of untreated AS. It can make you feel tired and lacking in energy.
You should see your GP if you have persistent symptoms of AS.
If your GP thinks you may have the condition, they should refer you to a rheumatologist (a specialist in conditions affecting muscles and joints) for further tests and any necessary treatment.
Read more about diagnosing ankylosing spondylitis."
Anorexia nervosa,"Signs and symptoms of anorexia include:

fear of ‘being fat’ or gaining weight
problems with self-esteem and body image when it comes to food and weight
restricting food intake
keeping your body weight low, to the point it’s unhealthy

Restricting your food intake means your body isn’t getting enough energy or nutrition. This can lead to other physical symptoms.
Eating too little for a long time can cause physical symptoms, like:

fine downy hair (lanugo) growing on the body
more hair on the face
pubic hair becoming sparse and thin
slow or irregular heartbeat

People with anorexia may also:

have pain in their abdomen (tummy)
feel bloated or constipated
have swelling in their feet, hands or face
feel very tired
have low blood pressure (hypotension)
feel cold or have a low body temperature
feel light-headed or dizzy

In children with anorexia, puberty and the associated growth spurt may be delayed. They may gain less weight than expected for someone going through puberty. They might be shorter than other people of the same age.
If you get periods and you have anorexia, your periods may stop. Anorexia can also lead to infertility, for both men and women.
Beat has more information about treatment for anorexia
If someone close to you is showing signs of anorexia, you can offer help and support.
You could try talking to them about how they feel, and encourage them to think about getting help. Try not to put pressure on them or be critical of them, as this could make things worse. You could also offer to help by going with the person to see their GP.
If you’d like to get some advice on how to help, a healthcare professional, such as your own GP, can provide information on:

how to help the person recognise that they have a problem
the treatments available
how you can support them during their treatment

You could also get help from a support group for people who have loved ones with eating disorders.
Beat has more information about how to support someone with anorexia
When making a diagnosis, your GP will probably ask questions about your weight and eating habits.
For example, they might:

ask if you’ve lost a lot of weight recently or quite quickly
ask how you feel about your weight, and if you’re concerned about it
ask if you make yourself vomit regularly
check if you have periods, whether your periods have stopped and if so, for how long
check your weight
check your pulse and blood pressure
do a blood test

It’s important to answer these questions honestly. Your GP isn’t trying to judge you. They just need to accurately assess your symptoms.
If your GP thinks you may have anorexia, they’ll refer you to a specialist in eating disorders for a more detailed assessment. Your GP sometimes carries out this assessment.
Treatment for anorexia usually involves a combination of:

talking therapy, and
supervised weight gain

It’s important to start treatment as early as possible to reduce the risk of serious complications.
Treatment for anorexia is slightly different for adults and those under 18 years old.
If someone has anorexia for a long time, it can lead to severe complications and health problems. These can sometimes be permanent.
People with anorexia have an increased risk of:

poor circulation and cardiovascular problems
heart conditions, like coronary heart disease and irregular heartbeat (arrhythmia)
health problems caused by malnutrition – a lack of vitamins and minerals

Anorexia can cause an imbalance of minerals in the blood, like potassium, calcium and sodium. These minerals help keep you healthy. When there’s an imbalance, it can cause symptoms like:

tiredness
weakness
dehydration
fits
irregular heartbeat (arrhythmia)
muscle spasms
confusion

Other conditions that can be caused by anorexia and malnutrition can include:

low blood pressure (hypotension)
anaemia
dental problems, like tooth decay caused by regular vomiting
low blood sugar levels (hypoglycaemia)
acute kidney (renal) failure
liver damage
heart failure
osteoporosis (fragile bones) and loss of muscle strength, particularly in women and girls
loss of sex drive (libido) and impotency in men

Misuse of laxatives can damage the bowels and cause permanent constipation.
Anorexia can lead to irregular menstrual cycles (periods), or cause your periods to stop altogether. This doesn’t mean anorexia makes you infertile.
If you have anorexia, even if your periods are irregular or have stopped, you should continue to use birth control if you aren’t planning a pregnancy.
If you have anorexia and are trying to become pregnant, you should discuss this with your GP and care team.
Anorexia during pregnancy can increase the risk of complications, like:

miscarriage
giving birth early (premature birth)
having a baby with a low birth weight

You’re also likely to need extra care and support during pregnancy if you have previously had anorexia and recovered from it."
Anxiety,"GAD can cause a change in your behaviour and the way you think and feel about things. It can also cause physical changes. This results in symptoms like:

restlessness
a sense of dread
feeling constantly “on edge”
difficulty concentrating
irritability
dizziness
tiredness
a noticeably strong, fast or irregular heartbeat (palpitations)
muscle aches and tension
trembling or shaking
dry mouth
excessive sweating
shortness of breath
stomach ache
feeling sick
headache
pins and needles
difficulty falling or staying asleep (insomnia)

Your symptoms may cause you to withdraw from social contact to avoid feelings of worry and dread.
You may also find going to work difficult and stressful and may take time off sick. These actions can make you worry even more about yourself and increase your lack of self-esteem.
If you’re anxious as a result of a specific phobia or because of panic disorder, you’ll usually know what the cause is. For example, if you have claustrophobia (a fear of enclosed spaces), you know that being confined in a small space will trigger your anxiety.
However, if you have GAD, it may not always be clear what you’re feeling anxious about. Not knowing what triggers your anxiety can intensify it. You may start to worry that there’ll be no solution."
Anxiety disorders in children,
Appendicitis,"Appendicitis typically starts with a pain in the middle of your tummy (abdomen) that may come and go.
Within hours, the pain travels to your lower right-hand side, where the appendix is usually located, and becomes constant and severe.
Pressing on this area, coughing, or walking may all make the pain worse.
If you have appendicitis, you may also have other symptoms, including:

feeling sick (nausea)
being sick
loss of appetite
diarrhoea
a high temperature (fever) and a flushed face

If you’re experiencing abdominal pain that’s gradually getting worse, contact your GP or local out-of-hours service immediately. If these options aren’t available, phone NHS 24 111 Service for advice.
Appendicitis can easily be confused with something else, such as:

gastroenteritis
severe irritable bowel syndrome (IBS)
constipation
bladder or urine infections
Crohn’s disease
pelvic infection

In young women, these symptoms can sometimes have a gynaecological cause, such as an ectopic pregnancy or menstrual pain.
However, any condition that causes constant stomach pain requires urgent medical attention.
You should phone 999 for an ambulance if you get a pain that suddenly becomes worse and spreads across your abdomen. These are signs your appendix may have burst.
If the appendix bursts, it can cause peritonitis, a potentially serious infection of the inner lining of the abdomen.
Read more about the complications of appendicitis."
Arterial thrombosis,"Depending on where the clot is in your body, a bloodclot in an artery (arterial thrombosis) can cause:

angina
heart attack
stroke
peripheral vascular disease

Find out about each of these below.
A heart attack can happen when a blood clot completely blocks an artery that pumps blood to your heart muscle.
You may experience:

a crushing central chest pain or mild chest discomfort
shortness of breath
a clammy, sweaty and grey complexion
dizziness
nausea and vomiting

If you suspect you or someone you know is having a heart attack, dial 999 immediately. It’s important that you don’t wait and do treat these symptoms as an emergency.
Find out more about the symptoms of a heart attack
Arterial thrombosis can cause a stroke if a blood clot is blocking an artery that supplies blood to your brain.
The symptoms of a stroke can come on suddenly and may include:

numbness or weakness down one side, ranging in severity from weakness in your hand to complete paralysis of the whole side of your body
weakness in your face, which can make you drool saliva
dizziness
difficulty talking and understanding what others are saying
problems with balance and co-ordination
difficulty swallowing

If you suspect that you or someone else is having a stroke, dial 999 immediately. It’s important that you don’t wait and do treat these symptoms as an emergency.
If you have a narrowing of an artery in one or both of your legs (peripheral vascular disease) you may:

be more susceptible to developing a clot
have pain when exercising, usually in the lower half of your legs
have pain that may affect both legs, but develops in one leg before the other
have pale, cold skin and numbness in one of your legs

Peripheral vascular disease can also cause other problems such as impotence (erectile dysfunction).
If you have any of these symptoms, it’s important to talk to your GP.
If one of your legs is a very different colour from the other, and you have other symptoms, you should treat this as an emergency and call 999."
